rising_edge_ns,falling_edge_ns
1771359659999983000,1771359660799983000
1771359660999981000,1771359661199981000
1771359661999981000,1771359662199981000
1771359662999981000,1771359663199981000
1771359663999982000,1771359664202293000
1771359664999980000,1771359665199980000
1771359665999981000,1771359666199981000
1771359666999981000,1771359667199981000
1771359667999982000,1771359668199982000
1771359668999980000,1771359669799980000
1771359669999980000,1771359670499980000
1771359670999981000,1771359671199981000
1771359671999980000,1771359672199980000
1771359672999980000,1771359673199980000
1771359673999980000,1771359674199980000
1771359674999980000,1771359675199980000
1771359675999981000,1771359676499981000
1771359676999981000,1771359677199981000
1771359677999980000,1771359678200071000
1771359678999980000,1771359679799980000
1771359679999980000,1771359680199980000
1771359681001242000,1771359681201242000
1771359681999981000,1771359682199981000
1771359683000604000,1771359683200604000
1771359683999980000,1771359684199980000
1771359684999980000,1771359685199980000
1771359685999981000,1771359686499981000
1771359686999980000,1771359687199980000
1771359687999980000,1771359688199980000
1771359688999980000,1771359689799980000
1771359689999980000,1771359690199980000
1771359690999981000,1771359691199981000
1771359691999981000,1771359692199981000
1771359692999980000,1771359693499980000
1771359693999980000,1771359694199980000
1771359694999980000,1771359695199980000
1771359695999980000,1771359696199980000
1771359697001044000,1771359697501044000
1771359697999980000,1771359698199980000
1771359698999980000,1771359699799980000
1771359699999980000,1771359700199980000
1771359700999980000,1771359701199980000
1771359701999981000,1771359702199981000
1771359702999980000,1771359703199980000
1771359703999980000,1771359704199980000
1771359704999980000,1771359705201991000
1771359705999980000,1771359706199980000
1771359706999981000,1771359707199981000
1771359707999980000,1771359708199980000
1771359708999980000,1771359709799980000
1771359709999980000,1771359710199980000
1771359710999980000,1771359711499980000
1771359711999981000,1771359712499981000
1771359712999980000,1771359713199980000
1771359713999980000,1771359714199990000
1771359714999980000,1771359715199980000
1771359715999980000,1771359716499980000
1771359716999980000,1771359717199980000
1771359717999980000,1771359718199980000
1771359718999980000,1771359719799980000
1771359719999981000,1771359720799981000
1771359720999981000,1771359721199981000
1771359721999980000,1771359722200011000
1771359722999981000,1771359723200018000
1771359723999980000,1771359724199980000
1771359724999980000,1771359725199980000
1771359725999981000,1771359726199981000
1771359727000481000,1771359727200481000
1771359727999980000,1771359728199980000
1771359729003388000,1771359729803388000
1771359729999980000,1771359730199980000
1771359730999981000,1771359731499981000
1771359731999981000,1771359732199981000
1771359732999981000,1771359733199981000
1771359733999980000,1771359734201365000
1771359734999981000,1771359735199981000
1771359735999980000,1771359736499980000
1771359736999981000,1771359737199981000
1771359737999980000,1771359738199980000
1771359738999980000,1771359739799980000
1771359739999980000,1771359740199980000
1771359740999981000,1771359741199981000
1771359741999980000,1771359742199980000
